Filename                           Electrostatics        Exchange      Dispersion    Polarization  ChargeTransfer     ALMO/TZVPPD
001_ethanol_ethanol_0.80               -42.318451       89.919861       -9.569120      -11.440918      -16.492686       10.098709
001_ethanol_ethanol_0.90               -22.030927       35.877127       -6.310421       -4.759321       -6.543738       -3.767280
001_ethanol_ethanol_0.95               -16.123494       22.702844       -5.183652       -3.203418       -4.175598       -5.983341
001_ethanol_ethanol_1.00               -11.986926       14.408819       -4.277390       -2.194694       -2.708007       -6.758198
001_ethanol_ethanol_1.05                -9.066635        9.178800       -3.539340       -1.546582       -1.768356       -6.742113
001_ethanol_ethanol_1.10                -6.978561        5.870244       -2.935253       -1.113456       -1.167065       -6.324116
001_ethanol_ethanol_1.20                -4.347419        2.427199       -2.025191       -0.606907       -0.530569       -5.082887
002_ethanol_WA_0.80                    -31.415081       66.266969       -5.409799       -7.775908      -13.311448        8.354732
002_ethanol_WA_0.90                    -15.948160       24.183604       -3.095268       -2.940822       -5.024522       -2.825167
002_ethanol_WA_0.95                    -11.615272       14.531023       -2.367686       -1.934297       -3.073279       -4.459489
002_ethanol_WA_1.00                     -8.640057        8.712715       -1.821176       -1.310636       -1.885875       -4.945029
002_ethanol_WA_1.05                     -6.572443        5.216778       -1.406142       -0.909106       -1.164818       -4.835731
002_ethanol_WA_1.10                     -5.111472        3.120554       -1.088767       -0.643117       -0.726960       -4.449761
002_ethanol_WA_1.20                     -3.287237        1.114603       -0.660445       -0.337548       -0.297228       -3.467830
003_ethanol_WD_0.80                    -38.904613       83.152533       -7.335994      -10.611759      -16.425550        9.874594
003_ethanol_WD_0.90                    -20.442854       32.177175       -4.515918       -4.383652       -6.398518       -3.563767
003_ethanol_WD_0.95                    -15.060421       19.986496       -3.590583       -2.926482       -4.048590       -5.639579
003_ethanol_WD_1.00                    -11.288599       12.426243       -2.873184       -1.998351       -2.587428       -6.321272
003_ethanol_WD_1.05                     -8.620578        7.741563       -2.307815       -1.395220       -1.668666       -6.250717
003_ethanol_WD_1.10                     -6.705927        4.836257       -1.859560       -0.993858       -1.086735       -5.809823
003_ethanol_WD_1.20                     -4.271941        1.905425       -1.215249       -0.529685       -0.479398       -4.590846
004_ethanol_dimer_01                   -10.543188       11.726840       -3.824857       -1.879780       -2.265989       -6.786998
004_ethanol_dimer_02                   -10.366539       11.679780       -3.877318       -1.844192       -2.162882       -6.571104
004_ethanol_dimer_03                   -10.048040       11.250000       -3.727653       -1.817925       -2.140918       -6.484560
004_ethanol_dimer_04                   -10.096176       11.071845       -3.387022       -1.790344       -2.204541       -6.406238
