Filename                                 MP2/aVTZ
001_ethanol_ethanol_0.80                10.076331
001_ethanol_ethanol_0.90                -3.680750
001_ethanol_ethanol_0.95                -5.827595
001_ethanol_ethanol_1.00                -6.570738
001_ethanol_ethanol_1.05                -6.561336
001_ethanol_ethanol_1.10                -6.172127
001_ethanol_ethanol_1.20                -5.001903
002_ethanol_WA_0.80                      8.599184
002_ethanol_WA_0.90                     -2.551741
002_ethanol_WA_0.95                     -4.172713
002_ethanol_WA_1.00                     -4.679109
002_ethanol_WA_1.05                     -4.614656
002_ethanol_WA_1.10                     -4.279775
002_ethanol_WA_1.20                     -3.377700
003_ethanol_WD_0.80                      9.990603
003_ethanol_WD_0.90                     -3.432866
003_ethanol_WD_0.95                     -5.469190
003_ethanol_WD_1.00                     -6.137596
003_ethanol_WD_1.05                     -6.085285
003_ethanol_WD_1.10                     -5.679422
003_ethanol_WD_1.20                     -4.531031
004_ethanol_dimer_01                    -6.612211
004_ethanol_dimer_02                    -6.323116
004_ethanol_dimer_03                    -6.297743
004_ethanol_dimer_04                    -6.181030
004_ethanol_dimer_05                    -6.258560
004_ethanol_dimer_06                    -6.286096
004_ethanol_dimer_07                    -6.279966
004_ethanol_dimer_08                    -5.981287
004_ethanol_dimer_09                    -6.136822
004_ethanol_dimer_10                    -6.084427
004_ethanol_dimer_11                    -5.880720
004_ethanol_dimer_12                    -5.593989
004_ethanol_dimer_13                    -5.853255
004_ethanol_dimer_14                    -6.036484
004_ethanol_dimer_15                    -5.899669
004_ethanol_dimer_16                    -5.810161
004_ethanol_dimer_17                    -5.974304
004_ethanol_dimer_18                    -5.814471
004_ethanol_dimer_19                    -5.742419
004_ethanol_dimer_20                    -5.759962
004_ethanol_dimer_21                    -5.773386
004_ethanol_dimer_22                    -5.599492
004_ethanol_dimer_23                    -5.927516
004_ethanol_dimer_24                    -6.101864
004_ethanol_dimer_25                    -5.254988
004_ethanol_dimer_26                    -3.051805
004_ethanol_dimer_27                    -3.127481
004_ethanol_dimer_28                    -2.412141
004_ethanol_dimer_29                    -2.715010
004_ethanol_dimer_30                    -2.580713
004_ethanol_dimer_31                    -2.365861
004_ethanol_dimer_32                    -2.474290
004_ethanol_dimer_33                    -2.441308
004_ethanol_dimer_34                    -2.251286
004_ethanol_dimer_35                    -2.161449
004_ethanol_dimer_36                    -2.155409
004_ethanol_dimer_37                    -2.048270
004_ethanol_dimer_38                    -2.074988
004_ethanol_dimer_39                    -1.971078
004_ethanol_dimer_40                    -1.905011
004_ethanol_dimer_41                    -1.915689
004_ethanol_dimer_42                    -1.933275
004_ethanol_dimer_43                    -1.918391
004_ethanol_dimer_44                    -2.042935
004_ethanol_dimer_45                    -2.033647
004_ethanol_dimer_46                    -1.967499
004_ethanol_dimer_47                    -1.777361
004_ethanol_dimer_48                    -2.000789
004_ethanol_dimer_49                    -1.824785
004_ethanol_dimer_50                    -1.795777
004_ethanol_dimer_51                    -1.807462
004_ethanol_dimer_52                    -1.735144
004_ethanol_dimer_53                    -1.741796
004_ethanol_dimer_54                    -1.730170
004_ethanol_dimer_55                    -1.722181
004_ethanol_dimer_56                    -1.684669
004_ethanol_dimer_57                    -1.704555
004_ethanol_dimer_58                    -1.685873
004_ethanol_dimer_59                    -1.641970
004_ethanol_dimer_60                    -1.677143
004_ethanol_dimer_61                    -1.634703
004_ethanol_dimer_62                    -1.791889
004_ethanol_dimer_63                    -1.608378
004_ethanol_dimer_64                    -1.780971
004_ethanol_dimer_65                    -1.627282
004_ethanol_dimer_66                    -1.510216
004_ethanol_dimer_67                    -1.595471
004_ethanol_dimer_68                    -1.432380
004_ethanol_dimer_69                    -1.469192
004_ethanol_dimer_70                    -1.369207
004_ethanol_dimer_71                    -1.356712
004_ethanol_dimer_72                    -0.956709
004_ethanol_dimer_73                    -1.007265
004_ethanol_dimer_74                    -0.948704
004_ethanol_dimer_75                    -0.846683
004_ethanol_dimer_76                    -0.759957
004_ethanol_dimer_77                    -0.737438
