Filename                           Electrostatics        Exchange      Dispersion       Induction     SAPT2+/aVTZ
001_ethanol_ethanol_0.80               -42.198976       88.010667      -16.474987      -23.771209        5.565496
001_ethanol_ethanol_0.90               -21.970143       36.401684      -10.157459       -9.567017       -5.292935
001_ethanol_ethanol_0.95               -16.058155       23.362207       -8.112399       -6.197048       -7.005395
001_ethanol_ethanol_1.00               -11.910932       14.996917       -6.500800       -4.074958       -7.489773
001_ethanol_ethanol_1.05                -8.987994        9.634690       -5.170820       -2.721647       -7.245770
001_ethanol_ethanol_1.10                -6.908929        6.198089       -4.158200       -1.846751       -6.715791
001_ethanol_ethanol_1.20                -4.310351        2.579337       -2.729153       -0.890192       -5.350358
002_ethanol_WA_0.80                    -31.318148       65.276498       -9.780104      -18.407671        5.770574
002_ethanol_WA_0.90                    -15.884313       24.661880       -5.327923       -6.914205       -3.464561
002_ethanol_WA_0.95                    -11.536937       15.037306       -3.974770       -4.319837       -4.794238
002_ethanol_WA_1.00                     -8.550223        9.128385       -2.980320       -2.739088       -5.141246
002_ethanol_WA_1.05                     -6.483137        5.520089       -2.243991       -1.765142       -4.972181
002_ethanol_WA_1.10                     -5.033058        3.327269       -1.698512       -1.157052       -4.561353
002_ethanol_WA_1.20                     -3.240279        1.200686       -0.988390       -0.523544       -3.551527
003_ethanol_WD_0.80                    -38.677511       81.228817      -12.959088      -23.180552        6.411666
003_ethanol_WD_0.90                    -20.380950       32.600660       -7.562137       -9.235389       -4.577816
003_ethanol_WD_0.95                    -15.016200       20.552825       -6.667981       -5.934466       -7.065821
003_ethanol_WD_1.00                    -11.243169       12.936930       -4.539916       -3.864463       -6.710619
003_ethanol_WD_1.05                     -8.573861        8.135988       -3.543604       -2.552382       -6.533860
003_ethanol_WD_1.10                     -6.664735        5.116070       -2.779067       -1.710861       -6.038595
003_ethanol_WD_1.20                     -4.251993        2.034623       -1.733024       -0.803505       -4.753899
004_ethanol_dimer_01                   -10.484315       12.255178       -5.680461       -3.439820       -7.349419
004_ethanol_dimer_02                   -10.292271       12.213795       -5.729477       -3.310396       -7.118349
004_ethanol_dimer_03                    -9.983557       11.836871       -5.593104       -3.277240       -7.017031
004_ethanol_dimer_04                   -10.042297       11.656042       -5.170254       -3.323657       -6.880166
